ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
490,You... and who else?,67,699,Aldorlea Games,Aldorlea Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie,RPG,Simulation,Strategy","Indie,Strategy,Casual,Adventure,RPG,Simulation,RPGMaker,Turn-Based",,,,
491,Vektron Revenge,80,999,Ludovic Texier,Ludovic Texier,"Single-player,Steam Leaderboards","Action,Indie","Indie,Action,VR,Arcade",,,,
492,Midnight at the Celestial Palace: Chapter I,96,499,"Orrery Games,Blip Haus Design",Orrery Games,"Single-player,Captions available","Adventure,Indie","Indie,Adventure,Point & Click",,,,70
493,Bearslayer,93,999,bool games;,bool games;,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Casual,Indie,Early Access","Early Access,Casual,Action,Indie,Adventure",,,,
494,ðŸ”´ Circles,93,899,Jeroen Wimmers,Jeroen Wimmers,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","Indie,Casual,Puzzle,Minimalist,Abstract,Experimental",76,,,70
495,The Letter - Horror Visual Novel,92,1999,Yangyang Mobile,Yangyang Mobile,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","Adventure,Indie,RPG","Visual Novel,Horror,Indie,Choices Matter,Gore,Sexual Content,Mystery,Story Rich,Anime,Violent,Psychological Horror,Adventure,RPG,Mature,Multiple Endings,Interactive Fiction,Female Protagonist,Drama,Replay Value,Nonlinear",,,,
496,Bayonetta,92,1999,PlatinumGames,SEGA,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure","Action,Female Protagonist,Hack and Slash,Sexual Content,Spectacle fighter,Nudity,Singleplayer,Great Soundtrack,Character Action Game,Mature,Adventure,Fantasy,Fast-Paced,Beat 'em up,Classic,Third Person,Gore,Comedy,Anime,Atmospheric",90,81,91,83
497,Vanquish,89,1999,"PlatinumGames,Little Stone Software",SEGA,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV",Action,"Action,Sci-fi,Third-Person Shooter,Singleplayer,Shooter,Fast-Paced,Third Person,Futuristic,Bullet Time,Mechs,Arcade,Great Soundtrack,Robots,Classic,Character Action Game,Adventure,Hack and Slash,Story Rich,Cyberpunk,Anime",78,89,81,81
498,Tom Clancy's Ghost ReconÂ® Wildlands,76,4999,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade",Ubisoft,"Single-player,Multi-player,Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support","Action,Adventure","Open World,Shooter,Action,Co-op,Multiplayer,Tactical,Stealth,Third-Person Shooter,Military,Singleplayer,Adventure,Third Person,FPS,Online Co-Op,Sandbox,Strategy,Survival,First-Person,Atmospheric,PvP",69,62,73,74
499,Bucket Detective,88,399,the whale husband,the whale husband,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Commentary available","Adventure,Indie","Indie,Adventure,Story Rich",,,,80
