ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
3526,Dream Daddy: A Dad Dating Simulator,90,1499,Game Grumps,Game Grumps,"Single-player,Captions available,Partial Controller Support","Casual,Indie,Simulation","Dating Sim,Romance,Memes,Simulation,Sexual Content,Visual Novel,Character Customization,Indie,Casual,Funny,Cute,Story Rich,Singleplayer,Choices Matter,Comedy,Mature,Multiple Endings,NSFW,Nudity,Great Soundtrack",72,75,71,83
3527,qop,92,99,Quiet River,Quiet River,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Casual,Indie","Indie,Casual,Puzzle,Minimalist,2D,Singleplayer,Relaxing",,,,70
3528,YANKAI'S PEAK.,96,599,Kenny Sun,Kenny Sun,"Single-player,Steam Achievements,Steam Cloud",Indie,"Indie,Puzzle",,,,70
3529,RXE,25,599,Buce Studios LLC,Buce Studios LLC,"Single-player,Multi-player,Steam Achievements,Steam Cloud","Indie,Simulation,Early Access","Early Access,Simulation,Indie",,,,
3530,Labyrinth Escape,38,99,"Tero Lunkka,Mikko SeppÃ¤lÃ¤",Tero Lunkka,Single-player,"Action,Indie","Action,Indie",,,,
3531,Numberline 2,32,199,"V34D4R,Egor Magurin",Indovers Studio,Single-player,"Casual,Indie","Casual,Indie",,,,
3532,Inferno Puzzle,29,99,Tero Lunkka,Tero Lunkka,Single-player,"Casual,Indie","Indie,Casual,Match 3",,,,
3533,Dude Simulator,53,499,Kiddy,Kiddy,"Single-player,Steam Trading Cards","Action,Adventure,Indie,Simulation","Simulation,Action,Indie,Adventure,Funny,Open World,First-Person,Sandbox",,,,81
3534,Masked Forces 2: Mystic Demons,73,499,FreezeNova,FreezeNova,"Single-player,Steam Achievements,Steam Workshop,Partial Controller Support,Stats,Steam Leaderboards,Includes level editor","Action,Indie","Action,Indie,Gore,Demons,FPS,First-Person,Blood,Fantasy,Level Editor,Singleplayer,Horror,Sniper,Shooter,Survival Horror,Nonlinear,Survival",,,,50
3535,Unreal Estate,70,,Afterthought Games,Afterthought Games,"Single-player,Multi-player,Online PvP,Cross-Platform Multiplayer,Steam Achievements","Casual,Indie,Simulation,Strategy","Casual,Indie,Strategy,Simulation,Board Game,Card Game,Multiplayer,Singleplayer,Relaxing,Family Friendly",,,,70
3536,Simple Light Cycles,82,199,Kelsam,Kelsam,"Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together","Action,Casual,Indie","Indie,Action,Casual",,,,
3537,Deltaplan Simulator,65,499,starmops,starmops,"Single-player,Partial Controller Support","Action,Adventure,Indie,Simulation","Simulation,Action,Indie,Adventure",,,,
3538,Crazy Ball Adventures,85,99,FreezeNova,FreezeNova,"Single-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards","Adventure,Casual,Indie","Adventure,Indie,Casual,Platformer,Singleplayer,3D Platformer",,,,70
3539,Oik 3,85,99,Crew Lab,Crew Lab,"Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie","Indie,Casual,Puzzle,2D,Minimalist,Physics,Short,Singleplayer,Family Friendly,Relaxing",,,,60
3540,Space Hero Line,55,99,Oriplay,"Cristian Manolachi,Atomic Fabrik",Single-player,"Casual,Indie","Indie,Casual,Puzzle,2D,Realistic,Great Soundtrack,Difficult",,,,
3541,welcome to heaven,69,,vextro,vextro,Single-player,"Adventure,Free to Play,Indie,Simulation","Free to Play,Adventure,Indie,Simulation,Psychological Horror,Sexual Content",,,,
3542,Telepathy Zero,41,,Creashock studios,Creashock studios,"Single-player,Steam Achievements,Steam Leaderboards","Casual,Indie","Casual,Indie,Free to Play,2D,Mouse only,Sci-fi,Robots,Short,Point & Click,Relaxing",,,,
3543,ThinkAhead,67,199,"Radaev Valentine,Egor Magurin",Indovers Studio,Single-player,"Casual,Indie","Casual,Indie",,,,
3544,Arena,83,299,Surreal Games,Surreal Games,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support","Action,Indie,Simulation,Sports,Early Access","Early Access,Sports,Indie,Simulation,Action,Multiplayer,Character Customization,Fighting",,,,
3545,Freedom: A Time to Reckon,43,99,"Displacement Studios,Cazack Games",Displacement Studios,"Single-player,Steam Cloud","Violent,Gore,Action,Adventure,Indie","Adventure,Action,Gore,Indie,Violent",,,,
3546,Insectophobia : Episode 1,43,99,Proximity Games,Proximity Games,"Single-player,Steam Achievements","Action,Adventure,Indie","Action,Indie,Adventure",,,,
3547,EPONYMOUS,69,299,Minor Key Games,Minor Key Games,"Single-player,Full controller support,Steam Cloud","Adventure,Casual,Indie","Indie,Adventure,Casual,Horror,Walking Simulator,Controller,Surreal,Abstract,Story Rich,Mystery,Nonlinear,Atmospheric,Psychological Horror,Psychological,Great Soundtrack,Retro,Singleplayer,First-Person,Short",,,,70
3548,Ping,84,,Examined Interactive,Examined Interactive,Single-player,"Action,Indie","Indie,Action",,,,
3549,Daath Originsâ„¢,,1999,"BLACK LODGE GAMES, LLC","BLACK LODGE GAMES, LLC","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","RPG,Early Access",,,,,
3550,Aftermath Y2K,67,499,"Matthew Willis,Jesse Crespo",Matthew Willis,"Single-player,Steam Achievements,Full controller support","Action,Indie","Action,Indie",,,,
3551,Train Bandit,95,99,Rusty Moyher,Wild Rooster,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Action,Indie,2D,Arcade,Pixel Graphics,Score Attack,Retro,Singleplayer,Minimalist,Violent,Difficult,Casual,Funny,Fast-Paced,Gore,Parody ,Comedy",,,,70
3552,Simple RTS,85,499,Gal Hajaj,Gal Hajaj,Single-player,"Indie,Strategy","Strategy,Indie,RTS",,,,
3553,Tiger Hunt,56,299,Digital Fusion Inc.,Digital Fusion Inc.,Single-player,"Action,Casual,Simulation","Casual,Action,Simulation",,,,
3554,Panzer Killer,33,299,Digital Fusion Inc.,Digital Fusion Inc.,Single-player,"Action,Casual,Simulation","Action,Simulation,Casual",,,,
3555,Hooligan Vasja: Halloween,36,99,Trident Game Studio,Trident Game Studio,"Single-player,Steam Achievements,Steam Leaderboards","Action,Casual,Indie","Action,Casual,Indie",,,,50
3556,Solar Settlers,96,999,BrainGoodGames,BrainGoodGames,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards",Strategy,"Strategy,Card Game,Board Game,Procedural Generation,Puzzle,Turn-Based,Space,Sci-fi,Indie,Turn-Based Strategy",,,,80
3557,Geneticognito,86,299,Blob Games,Blob Games,"Single-player,Steam Achievements,Partial Controller Support","Action,Adventure,Indie","Action,Indie,Adventure",,,,
3558,NOKBAK,71,,BYU Animation -  Class of 2017,Brigham Young University,"Multi-player,PvP,Online PvP","Action,Free to Play,Sports","Free to Play,Action,Sports,Multiplayer,FPS",,,,
3559,PHAT STACKS 2,25,199,ColloseusX,Phat Phrog Studios,"Single-player,Steam Achievements","Casual,Indie,Strategy","Strategy,Casual,Indie",,,,
3560,Horse Racing 2016,34,999,Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Remote Play Together","Indie,Racing,Sports","Sports,Racing,Indie,Horses",,,,60
3561,Krieg,85,,"Evan Davis,Bryce Davis,Gehrig Gosselin,BOT Jungle Productions","Castle Steps LLC,BOT Jungle Productions","Multi-player,PvP,Online PvP","Action,Indie,Early Access","Early Access,Indie,Action,VR",,,,
3562,Paddle Battle,63,199,Birdshark! Games,Birdshark! Games,"Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together","Action,Indie,Sports","Indie,Action,Sports,Local Multiplayer,4 Player Local,Controller",,,,
3563,HOCKEY SPACE,50,499,tjern,tjern,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Full controller support,Remote Play Together","Action,Sports","Action,Sports",,,,
3564,Mahjong Masters: Temple of the Ten Gods,50,699,Playtinum,Big Fish Games,Single-player,Casual,,,,,
3565,Screaming Eagles,85,99,A Maniacal Game LP,A Maniacal Game LP,"Single-player,Steam Achievements,Full controller support","Action,Indie","Indie,Action,Arcade,Bullet Hell,Top-Down Shooter",,,,
3566,F.E.X (Forced Evolution Experiment),7,699,NonFictional Games,NonFictional Games,"Single-player,Steam Achievements,Full controller support","Action,Adventure,Indie","Indie,Adventure,Action",,,,
3567,tick-hunter,27,99,StalkerAlex,StalkerAlex.,Single-player,"Action,Indie","Action,Indie",,,,
3568,This Strange Realm Of Mine,83,1299,Doomster Entertainment,Doomster Entertainment,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie","Indie,Adventure,Action,Violent,Gore,Psychological Horror,FPS,Choices Matter,Shooter,Story Rich,Pixel Graphics,Anime",,83,80,70
3569,Beast Mode: Night of the Werewolf,64,99,Apeirogon Games,Apeirogon Games,"Single-player,Partial Controller Support",Action,"Action,Arcade,Comedy,Funny,Werewolves,Beat 'em up",,,,
3570,Crimson Gray,96,999,Sierra Lee,Sierra Lee,"Single-player,Steam Achievements,Captions available","Adventure,Indie,Simulation","Sexual Content,Indie,Visual Novel,Adventure,Simulation,Violent,Choices Matter,Anime",,,,80
3571,Fly Simulator,62,99,HFM Games,HFM Games,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements","Action,Indie,Simulation","Simulation,Indie,Action,Violent,Multiplayer",,,,50
3572,BULLET PARTY,93,99,Awoker Games,Awoker Games,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together","Action,Casual","Action,Indie,Casual,4 Player Local,Shoot 'Em Up,Great Soundtrack,Co-op,2D,Local Co-Op,Twin Stick Shooter,Co-op Campaign,Soundtrack,Bullet Hell",,,,70
3573,Merri Puzzle,26,99,Merriman Games,Merriman Games,"Single-player,Steam Achievements","Indie,Strategy","Indie,Strategy,Casual,Physics,Puzzle,Singleplayer",,,,
3574,Exocomets,75,199,Matthew Giordano,Matthew Giordano,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Remote Play Together","Action,Indie","Indie,Action",,,,
3575,Beta Runner,86,,Lightsoutgames,Lightsoutgames,"Single-player,Steam Achievements,Stats","Adventure,Casual,Indie,Simulation","Indie,Simulation,Adventure,Casual",,,,
3576,The Wolf's Bite,88,399,"ericmbernier,bitmOO,davecoughlin76",ericmbernier,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Remote Play Together","Adventure,Casual,Indie","Adventure,Casual,Indie,Choose Your Own Adventure",,,,70
3577,Better Off Tread,62,,"Pixel Constructor, LLC.","Pixel Constructor, LLC","Multi-player,PvP,Online PvP,In-App Purchases,Partial Controller Support","Action,Free to Play,Indie","Free to Play,Action,Indie,Tanks,Multiplayer,Shooter,Massively Multiplayer",,,,
3578,Fantasya Final Definitiva REMAKE,93,,CleanWaterSoft,CleanWaterSoft,"Single-player,Full controller support,Steam Trading Cards,Steam Cloud","Indie,RPG","RPG,Indie,RPGMaker,Pixel Graphics,JRPG,2D,Retro,Great Soundtrack,Story Rich,Replay Value,Comedy,Memes,Party-Based RPG",,,,
3579,PLANETS OF WAR,53,199,Indiecode Games,Indiecode Games,"Single-player,Steam Achievements","Action,Adventure,Indie","Action,Indie,Adventure,Space",,,,60
3580,THE HOUCHI PLAY -THE æ”¾ç½®ãƒ—ãƒ¬ã‚¤-,91,199,KoheiGallery,KoheiGallery,"Single-player,Full controller support","Action,Indie","Indie,Action,Anime",,,,
3581,ç”µç«žä¿±ä¹éƒ¨/ESports Club,57,899,"Hangzhou Xinlan Network Technology Co.,Ltd.","Hangzhou Xinlan Network Technology Co.,Ltd.","Single-player,Steam Achievements,Steam Workshop,Steam Cloud","Indie,Simulation,Sports,Strategy,Early Access","Early Access,Simulation,Strategy,Indie,Sports,e-sports,Management",,,,
3582,ROMBY,70,99,Black Lime Studio,Black Lime Studio,"Single-player,Steam Achievements,Steam Leaderboards","Casual,Indie,Strategy","Indie,Casual,Strategy,Puzzle,Great Soundtrack,Match 3,Colorful,Singleplayer,Female Protagonist",,,,50
3583,Sorcerer's Dream,50,499,Arai Koh Create Office,YOX-Project,"Single-player,Steam Achievements,Steam Cloud",Indie,"Indie,Visual Novel,Anime",,,,
3584,Fractus,,199,Jeff Apostolos,Jeff Apostolos,"Single-player,Full controller support,Steam Leaderboards","Action,Indie",,,,,
3585,Planet Protector VR,78,999,BigfootDS,BigfootDS,Single-player,"Action,Casual,Indie,Early Access","Early Access,Action,Indie,Casual,VR,VR Only",,,,
3586,Outpost L5,85,999,VHornet Games,VHornet Games,"Single-player,Steam Cloud,Steam Leaderboards","Action,Casual,Indie","Casual,Indie,Action,VR,Space,Arcade,Classic",,,,
3587,SOLITAIRE ULTRA,33,,Thorium Entertainment,Thorium Entertainment,"Single-player,Stats",Casual,Casual,,,,
3588,BOUNCED,57,299,Deceptive Games Ltd.,Deceptive Games Ltd.,"Single-player,Steam Achievements,Partial Controller Support","Adventure,Casual,Indie","Adventure,Indie,Casual,Platformer,Cartoon,3D Platformer,Side Scroller,Cartoony,Action,Cute,Singleplayer",,,,
3589,Alien Hallway 2,69,999,Sigma Team Inc.,Sigma Team Inc.,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy","Action,Strategy,Indie",,,,50
3590,Vostok Inc.,60,1499,Nosebleed Interactive,BadLand Publishing,"Single-player,Steam Achievements,Full controller support","Action,Casual,Indie","Casual,Indie,Action",,,74,50
3591,Hidden Animals: English - Spanish,76,299,Progorion,Progorion,Single-player,"Casual,Indie","Indie,Casual,Hidden Object,Education,2D,Simulation,Singleplayer,Relaxing,Point & Click,Great Soundtrack,Funny,Kickstarter,Puzzle,America",,,,
3592,Pro Gamer Manager 2,16,1999,Millenway,Millenway,Single-player,"Indie,Simulation,Sports,Strategy,Early Access","Early Access,Indie,Simulation,Strategy,Sports,Management,Real Time Tactics,e-sports,Top-Down",,,,20
3593,Shadow Bug,95,599,Muro Studios,Muro Studios,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards","Action,Adventure,Indie","Action,Indie,Platformer,Ninja,2D,Adventure,Action-Adventure,Atmospheric",,,60,70
3594,Castaway Home Designer,50,499,Stolen Couch Games,Stolen Couch Games,"Single-player,Steam Cloud","Casual,Indie,Simulation","Casual,Indie,Simulation",,,,
3595,In the Raven Shadow â€“ Ve stÃ­nu havrana,89,399,"Rainbow Rhino,CINEMAX, s.r.o.","CINEMAX, s.r.o.","Single-player,Steam Achievements,Steam Cloud","Adventure,Indie","Adventure,Indie,Point & Click,Comedy",,,,
3596,Slash It Ultimate,76,499,EGAMER,EGAMER,"Single-player,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards","Action,Casual,Indie","Action,Casual,Indie,Rhythm",,,43,60
3597,Red Wake Carnage,37,999,Racing Bros,Racing Bros,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements","Action,Indie","Action,Indie,Violent,Gore,Sexual Content,Nudity",,,,30
3598,Circuit Warz,60,,"Arttu Tuovinen,Alan Bourhis,Michael Callaghan",Michael Callaghan,Single-player,"Action,Indie","Action,Indie",,,,
3599,Dead of Night,88,199,Aaron Cochrane,Aaron Cochrane,"Single-player,Steam Achievements,Full controller support","Violent,Gore,Action,Adventure,Indie","Action,Indie,Violent,Adventure,Gore,Vampire,Retro",,,,
3600,Kalzor: 2000,,199,Roley Games,Roley Games,"Single-player,Steam Achievements","Action,Casual,Indie",,,,,
3601,Fantasy Mosaics 15: Ancient Land,86,699,Andy Jurko,Andy Jurko,Single-player,"Casual,Indie","Indie,Casual,Puzzle",,,,
3602,Bomb Defense,19,499,Mitorah Games,Mitorah Games,"Single-player,Steam Achievements","Casual,Indie,Strategy","Strategy,Casual,Indie,Tower Defense,Puzzle,Physics,Building",,,,
3603,Block Robot Mini Survival Game,14,599,Theodor Niklas,Theodor Niklas,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer","Action,Adventure,Massively Multiplayer,Racing,Simulation","Massively Multiplayer,Action,Racing,Adventure,Simulation",,,,
3604,Bullyparade - DER Spiel,25,999,BitsAlive Game Studios,Spicy Fox GmbH,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Partial Controller Support","Action,Casual,Racing","Casual,Action,Racing",,,,
3605,Cybercube,87,499,EGAMER,EGAMER,"Single-player,Steam Achievements","Action,Casual,Indie","Casual,Action,Indie",,,,70
3606,Jewel Venture,60,899,,familyplay,Single-player,"Casual,Strategy","Casual,Strategy,Match 3",,,,
3607,RHEM I SE: The Mysterious Land,84,999,Knut MÃ¼ller,Runesoft GmbH,"Single-player,Steam Cloud","Adventure,Indie","Adventure,Indie,Puzzle",,,,
3608,Space Hit,67,99,Artur Rezende,Artur Rezende,Single-player,"Casual,Indie","Casual,Indie",,,,
3609,The Theodore Adventures,56,199,norum82,Droid Riot,"Single-player,Full controller support","Adventure,Casual,Indie","Adventure,Casual,Indie,Platformer",,,,
3610,MagiCat,90,499,Kucing Rembes,"Toge Productions,Another Indie","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet","Action,Adventure,Indie","Platformer,Action,Indie,Adventure,Cute,Pixel Graphics,Difficult,2D,Puzzle-Platformer,Funny,Singleplayer,Action-Adventure",,,74,70
3611,Lucky Night: Texas Hold'em VR,82,,ATC Games,ATC Games,"Multi-player,PvP,Online PvP,In-App Purchases,Stats","Casual,Free to Play","Free to Play,Casual,VR",,,,
3612,Save Dash,80,299,10ravens s.r.o.,10ravens s.r.o.,Single-player,"Action,Indie","Action,Indie",,,,
3613,The Myth Seekers: The Legacy of Vulcan,84,999,Sunward Games,Artifex Mundi,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual","Adventure,Casual,Hidden Object,Female Protagonist,Point & Click,Story Rich,Fantasy,Puzzle,Singleplayer,Mystery,Great Soundtrack,Atmospheric,Family Friendly,Indie,2D,Horror",,,,80
3614,Humanity Must Perish,85,,Zetsubou,Zetsubou,"Single-player,Steam Achievements,Full controller support","Casual,Indie,Simulation","Indie,Simulation,Casual,Visual Novel,Anime",,,,
3615,Dream Hills: Captured Magic,79,399,Mysterytag,RunServer,Single-player,"Adventure,Casual,Indie","Adventure,Casual,Indie,Hidden Object,Point & Click,Singleplayer,Mouse only,Mystery,Puzzle,Relaxing,Magic,Atmospheric,Funny",,,,60
3616,2 Planets Fire and Ice,61,899,,familyplay,Single-player,"Casual,Strategy","Casual,Strategy,Match 3",,,,
3617,Flix and Chill 2: Millennials,84,99,Jason Lovett,K Bros Games,"Single-player,Steam Achievements,Partial Controller Support","Casual,Indie,Simulation","Casual,Indie,Simulation",,,,70
3618,The Adliberum Engine (ADLENGINE),86,,Liam Twose,Liam Twose,"Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Includes level editor","Massively Multiplayer,RPG,Early Access","Early Access,Massively Multiplayer,RPG,Text-Based,Choose Your Own Adventure,Interactive Fiction",,,,
3619,Hand Simulator,83,199,HFM Games,HFM Games,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Stats",Simulation,"Simulation,Memes,Multiplayer,VR,Difficult,Funny,First-Person,Psychological Horror,Comedy,Intentionally Awkward Controls,Action,FPS,Horror,Nudity,Strategy,Story Rich,Open World,Atmospheric,Singleplayer,Anime",,65,,69
3620,Spirit of the Ancient Forest,23,499,Shaman Games Studio,Shaman Games Studio,Single-player,Casual,"Casual,Hidden Object,Puzzle",,,,
3621,æ•‘ã†(SHE SAVE),83,499,ã„ãã¡ãŠã™ã¦ã”,ã„ãã¡ãŠã™ã¦ã”,"Single-player,Steam Achievements,Partial Controller Support",Action,"Action,Female Protagonist,Pixel Graphics",,,,70
3622,Blind Men,83,399,Man-Eater Games,Man-Eater Games,"Single-player,Steam Achievements",Indie,"Indie,Visual Novel,Romance,Choices Matter,Casual,Interactive Fiction",,,,60
3623,Reverse Fantasy Legend,59,1899,åºŸæç‚¼é‡‘æœ¯å£«,åºŸæç‚¼é‡‘æœ¯å£«,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Adventure,Indie,RPG","Indie,RPG,Comedy,RPGMaker",,,,
3624,Electronics Circuits Simulator,63,,"Arttu Tuovinen,Alan Bourhis,Michael Callaghan",Michael Callaghan,Single-player,"Indie,Simulation","Simulation,Indie",,,,
3625,Burn It Down,82,99,"Tapinator,Max Ignatyev",K Bros Games,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards","Adventure,Indie","Adventure,Indie,Platformer,2D,Great Soundtrack,Difficult,Puzzle-Platformer,Dark",,,,70
3626,Claybreaker - VR Clay Shooting,,1999,Ammonite Design Studios Ltd,Ammonite Design Studios Ltd,Single-player,"Action,Indie,Simulation,Sports,Early Access",,,,,
3627,Take Off - The Flight Simulator,40,899,Jujubee S.A.,astragon Entertainment,"Single-player,Partial Controller Support",Simulation,"Simulation,Flight",,,,50
3628,Hold the Line: The American Revolution,30,1499,HexWar Games,HexWar Games,Single-player,Strategy,Strategy,,,,
3629,Impresja,71,299,Adam Tarnowski,Adam Tarnowski,Single-player,Indie,"Indie,Puzzle,First-Person,Exploration,Abstract",,,,40
3630,Dodgeball,67,,313 Studios,313 Studios,Online PvP,"Indie,Sports,Early Access","Early Access,Indie,Sports",,,,
3631,Grav Blazer,57,499,Ripknot Systems,Ripknot Systems,"Single-player,Steam Achievements","Action,Casual,Indie","Action,Indie,Casual,2D,Sci-fi,Singleplayer",,,,50
3632,Fidget Spinner,84,99,Cloud AceGamer,,"Single-player,Steam Achievements","Casual,Indie,Simulation","Memes,Sexual Content,Simulation,Illuminati,Casual,Indie,Survival Horror,Great Soundtrack,Family Friendly,Replay Value,2D,Cold War,Atmospheric,Action,Story Rich,Singleplayer,Funny,Comedy,Parody ,Short",,,,80
3633,The Caribbean Sail,92,1199,Victorian Clambake,Victorian Clambake,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Stats","Action,Adventure,Casual,Indie,RPG,Simulation,Strategy","Indie,Adventure,Casual,Simulation,Action,RPG,Strategy,Pirates,Rogue-like,Rogue-lite,Retro,Naval,Choices Matter,Pixel Graphics",,73,,70
3634,The Automatician,69,799,DreamPunks,"DreamPunks,WolffWare","Single-player,Steam Achievements","Adventure,Casual,Indie","Casual,Indie,Adventure,Female Protagonist,Puzzle,First-Person,Soundtrack,Story Rich,Atmospheric,Cute,Experience,Singleplayer,Family Friendly,Relaxing",,,,50
3635,Rome Circus Maximus: Chariot Race VR,43,299,Vicente Rosell Roig,Vicente Rosell Roig,Single-player,Racing,"Racing,VR",,,,
3636,Defense of Roman Britain,63,699,First Games Interactive,First Games Interactive,Single-player,"Casual,Indie,Strategy","Indie,Strategy,Casual,Tower Defense",,,,
3637,Spartaga,98,999,House of How,House of How,"Single-player,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards","Action,Indie","Indie,Action,VR",,,,70
3638,Crafting Dead,51,999,Ferullo Gaming,Ferullo Gaming,"Single-player,Multi-player,PvP,Online PvP","Action,Adventure,Indie,Early Access","Early Access,Adventure,Action,Indie,Survival,Multiplayer,Zombies,Crafting,Voxel,Pixel Graphics",,,,50
3639,The Dragons' Twilight,96,399,G. A. Williams,G. A. Williams,"Single-player,Full controller support",RPG,"RPG,RPGMaker,Singleplayer,Indie,Fantasy,Turn-Based",,,,70
3640,Valentine Panic,72,99,Michaela Laws,Michaela Laws,"Single-player,Steam Achievements,Captions available","Casual,Indie,RPG,Simulation,Strategy","Casual,Indie,Simulation,Strategy,RPG",,,,70
3641,Mad Sector,59,299,REK...,REK...,Single-player,"Violent,Gore,Action","Gore,Action,Violent,FPS,Retro,Classic,Shooter,Indie,Horror,Great Soundtrack,Shoot 'Em Up",,,,50
3642,Skeleton Boomerang,98,999,Artisano,ANIMâ€¢ACE,"Single-player,Steam Achievements,Full controller support","Action,Indie","Action,Indie,Platformer,Great Soundtrack,2D",60,,70,70
3643,ClickRaid,85,499,Slikey Games,Slikey Games,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats","Action,Adventure,Casual,Indie","Clicker,Adventure,Action,Indie,Casual,Multiplayer",,,,80
3644,Mega Maze,83,,Chronova,Chronova,"Single-player,Steam Achievements,Steam Cloud,Stats,Includes level editor","Casual,Indie","Indie,Casual",,,64,
3645,Chambered,83,,SegFault Games,SegFault Games,"Single-player,Steam Achievements","Action,Indie","Indie,Action,Violent,VR",,,,70
3646,Xtrike,50,299,White Wood City,White Wood City,Single-player,"Action,Strategy,Early Access","Early Access,Action,Strategy,Indie",,,,
3647,BLUE REFLECTION / BLUE REFLECTIONã€€å¹»ã«èˆžã†å°‘å¥³ã®å‰£,83,5999,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Single-player,Steam Achievements,Partial Controller Support",RPG,"RPG,Anime,JRPG,Female Protagonist,Great Soundtrack,Singleplayer,Turn-Based Combat,Cute,Sexual Content",61,63,68,60
3648,Oldage,69,,"Ed Farage,Bubu",Hmmm Games,"Online PvP,Steam Achievements,Steam Trading Cards,In-App Purchases","Free to Play,Indie,Strategy","Indie,Free to Play,Strategy,Violent,Multiplayer,Turn-Based",,,,
3649,Tunnel Runner VR,50,299,Mocove Studio,Mocove Studio,"Single-player,Full controller support","Casual,Simulation","Simulation,Casual,VR",,,,
3650,Baseball Mogul 2017,82,2999,"Sports Mogul, Inc.","Sports Mogul, Inc.",Single-player,"Casual,Simulation,Sports,Strategy","Simulation,Sports,Strategy,Casual,Management",,,,
3651,Professor Watts Word Search: Into The Ocean,51,499,Ripknot Systems,Ripknot Systems,"Single-player,Steam Achievements","Casual,Indie,Strategy","Indie,Casual,Strategy",,,,
3652,Lil' Blue Buddy,50,199,Emerald Interactive Games,Emerald Interactive Games,Single-player,"Action,Casual","Action,Casual",,,,
3653,Drive Isle,67,299,Roadfactory,Roadfactory,"Single-player,Steam Achievements,Partial Controller Support","Racing,Simulation,Early Access","Early Access,Racing,Simulation",,,,70
3654,Dark Eden Origin,38,,SOFTON ENTERTAINMENT,SOFTON ENTERTAINMENT,"Multi-player,MMO,PvP,Online PvP","Free to Play,Massively Multiplayer,RPG","Free to Play,Massively Multiplayer,RPG",,,,
3655,Grisaia Phantom Trigger Vol.3,96,1499,Frontwing,Frontwing USA,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual","Visual Novel,Casual,Anime,Violent,Adventure,Cute,Nudity",,,,
3656,Zup! 7,95,99,Quiet River,Quiet River,"Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie","Casual,Indie,Puzzle,Minimalist,Physics,Short,Relaxing,2D",,40,,80
3657,FURIDASHI: Drift Cyber Sport,83,1499,Drift Physics Crew,Drift Physics Crew,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together","Racing,Simulation,Sports","Racing,Simulation,Sports,Multiplayer",,75,,60
3658,Lawnmower Game,78,199,"Tero Lunkka,Mikko SeppÃ¤lÃ¤",Tero Lunkka,"Single-player,Steam Achievements","Indie,Simulation","Indie,Simulation",,,,70
3659,ä½é¢ç©¿è¶Šè€…-ä¸‰å›½ä¼ (A Bit Crosser-Three Kingdoms),31,199,Gemini Stars Games,Gemini Stars Games,"Single-player,Steam Achievements","RPG,Strategy","RPG,Strategy,RPGMaker",,,,
