SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,LEAD TOTAL,0.135,UG/L,,7.439375
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,NICKEL TOTAL,0.81,UG/L,,158.70338
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,NITROGEN TOTAL,0.794,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,OXYGEN DISSOLVED,14.74,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,PHOSPHORUS TOTAL,0.013,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,ZINC TOTAL,1.5,UG/L,,86.164875
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,AMMONIA DISSOLVED,0.036,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,ARSENIC TOTAL,0.45,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,CHLORIDE DISSOLVED,14.9,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,COPPER TOTAL,0.98,UG/L,,5.099648
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,LEAD TOTAL,0.136,UG/L,,9.996646
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,NICKEL TOTAL,1.08,UG/L,,189.318851
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,NITROGEN TOTAL,1.075,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,OXYGEN DISSOLVED,13.74,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/12/2013,PHOSPHORUS TOTAL,0.01,MG/L,,0.05
