SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,OXYGEN DISSOLVED,12.06,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,ZINC TOTAL,0.2,UG/L,,20.4855
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,CHLORIDE DISSOLVED,0.29,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,COPPER TOTAL,0.07,UG/L,,2.602621
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,LEAD TOTAL,0.005,UG/L,,3.66988
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,NICKEL TOTAL,0.04,UG/L,,104.081003
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,NITROGEN TOTAL,0.127,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,OXYGEN DISSOLVED,12.23,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,10/2/2016,ZINC TOTAL,0.2,UG/L,,23.90175
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,CHLORIDE DISSOLVED,0.28,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,COPPER TOTAL,0.09,UG/L,,2.576297
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,LEAD TOTAL,0.012,UG/L,,3.614719
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,NICKEL TOTAL,0.05,UG/L,,103.144187
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,NITROGEN TOTAL,0.0868,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,OXYGEN DISSOLVED,12,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,22/03/2016,ZINC TOTAL,0.2,UG/L,,22.9095
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,AMMONIA DISSOLVED,0.006,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,ARSENIC TOTAL,0.08,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,CHLORIDE DISSOLVED,0.68,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,COPPER TOTAL,0.16,UG/L,,2.526769
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,LEAD TOTAL,0.018,UG/L,,3.511682
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,NICKEL TOTAL,0.08,UG/L,,101.37867
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,NITROGEN TOTAL,0.154,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,OXYGEN DISSOLVED,11.09,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,12/4/2016,ZINC TOTAL,0.2,UG/L,,21.04725
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,CHLORIDE DISSOLVED,0.23,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,COPPER TOTAL,0.17,UG/L,,2.18413
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,LEAD TOTAL,0.023,UG/L,,2.826393
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,NICKEL TOTAL,0.09,UG/L,,89.055035
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,NITROGEN TOTAL,0.142,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,OXYGEN DISSOLVED,10.65,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,PHOSPHORUS TOTAL,0.0055,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,4/5/2016,ZINC TOTAL,0.2,UG/L,,8.34
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,CHLORIDE DISSOLVED,0.18,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,COPPER TOTAL,0.13,UG/L,,2.201773
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,LEAD TOTAL,0.021,UG/L,,2.860474
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,NICKEL TOTAL,0.06,UG/L,,89.694584
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,NITROGEN TOTAL,0.1,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,OXYGEN DISSOLVED,8.64,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,PHOSPHORUS TOTAL,0.0025,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,28/06/2016,ZINC TOTAL,0.2,UG/L,,8.9865
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,ARSENIC TOTAL,0.06,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,CHLORIDE DISSOLVED,0.19,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,COPPER TOTAL,0.14,UG/L,,2.166175
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,LEAD TOTAL,0.023,UG/L,,2.791849
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,NICKEL TOTAL,0.07,UG/L,,88.403609
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,NITROGEN TOTAL,0.081,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,OXYGEN DISSOLVED,8.51,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,PHOSPHORUS TOTAL,0.0021,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/07/2016,ZINC TOTAL,0.9,UG/L,,7.683
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,ARSENIC TOTAL,0.06,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,CHLORIDE DISSOLVED,0.19,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,COPPER TOTAL,0.05,UG/L,,2
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,LEAD TOTAL,0.031,UG/L,,2.639406
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,NICKEL TOTAL,0.02,UG/L,,85.489236
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,NITROGEN TOTAL,0.036,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,OXYGEN DISSOLVED,8.6,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,PHOSPHORUS TOTAL,0.0022,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,17/08/2016,ZINC TOTAL,0.2,UG/L,,7.5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,ARSENIC TOTAL,0.06,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,CHLORIDE DISSOLVED,0.21,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,COPPER TOTAL,0.18,UG/L,,2.204514
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,LEAD TOTAL,0.022,UG/L,,2.86578
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,NICKEL TOTAL,0.07,UG/L,,89.793874
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,NITROGEN TOTAL,0.081,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,OXYGEN DISSOLVED,9.19,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,PHOSPHORUS TOTAL,0.0102,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,7/9/2016,ZINC TOTAL,0.2,UG/L,,9.087
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,CHLORIDE DISSOLVED,0.25,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,COPPER TOTAL,0.14,UG/L,,2.181651
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,LEAD TOTAL,0.007,UG/L,,2.821616
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,NICKEL TOTAL,0.07,UG/L,,88.965144
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,NITROGEN TOTAL,0.023,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,OXYGEN DISSOLVED,10.85,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,PHOSPHORUS TOTAL,0.0022,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/10/2016,ZINC TOTAL,0.2,UG/L,,8.24925
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,CHLORIDE DISSOLVED,0.26,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,COPPER TOTAL,0.34,UG/L,,2.403755
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,LEAD TOTAL,0.012,UG/L,,3.26005
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,NICKEL TOTAL,0.07,UG/L,,96.976936
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,NITROGEN TOTAL,0.122,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,OXYGEN DISSOLVED,12.12,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,23/11/2016,ZINC TOTAL,10.3,UG/L,,16.44909
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,CHLORIDE DISSOLVED,0.27,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,COPPER TOTAL,0.11,UG/L,,2.515296
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,LEAD TOTAL,0.006,UG/L,,3.487954
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,NICKEL TOTAL,0.06,UG/L,,100.969152
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,NITROGEN TOTAL,0.139,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,OXYGEN DISSOLVED,12.05,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,PHOSPHORUS TOTAL,0.0039,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,6/12/2016,ZINC TOTAL,0.5,UG/L,,20.61675
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,AMMONIA DISSOLVED,0.021,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,ARSENIC TOTAL,0.09,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,CHLORIDE DISSOLVED,1.34,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,COPPER TOTAL,0.19,UG/L,,3.13076
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,LEAD TOTAL,0.007,UG/L,,4.832684
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,NICKEL TOTAL,0.23,UG/L,,122.669501
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,NITROGEN TOTAL,0.109,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,OXYGEN DISSOLVED,9.49,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,PHOSPHORUS TOTAL,0.005,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/9/2013,ZINC TOTAL,0.6,UG/L,,44.153175
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,AMMONIA DISSOLVED,0.008,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,ARSENIC TOTAL,0.06,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,CHLORIDE DISSOLVED,2.16,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,COPPER TOTAL,0.06,UG/L,,3.762202
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,LEAD TOTAL,0.017,UG/L,,6.354186
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,NICKEL TOTAL,0.14,UG/L,,144.44571
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,NITROGEN TOTAL,0.114,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,OXYGEN DISSOLVED,11.84,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,8/12/2015,ZINC TOTAL,0.5,UG/L,,69.13725
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,AMMONIA DISSOLVED,0.009,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,ARSENIC TOTAL,0.09,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,CHLORIDE DISSOLVED,1.36,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,COPPER TOTAL,0.06,UG/L,,4.079526
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,LEAD TOTAL,0.024,UG/L,,7.168878
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,NICKEL TOTAL,0.19,UG/L,,155.232632
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,NITROGEN TOTAL,0.223,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,OXYGEN DISSOLVED,12.14,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/01/2016,ZINC TOTAL,0.5,UG/L,,81.9735
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,AMMONIA DISSOLVED,0.007,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,ARSENIC TOTAL,0.03,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,CHLORIDE DISSOLVED,0.39,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,COPPER TOTAL,0.03,UG/L,,3.721107
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,LEAD TOTAL,0.01,UG/L,,6.251061
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,NICKEL TOTAL,0.07,UG/L,,143.041534
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,NITROGEN TOTAL,0.263,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,OXYGEN DISSOLVED,12.11,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,10/2/2016,ZINC TOTAL,0.2,UG/L,,67.488
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,AMMONIA DISSOLVED,0.007,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,ARSENIC TOTAL,0.09,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,CHLORIDE DISSOLVED,2.18,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,COPPER TOTAL,0.12,UG/L,,4.184559
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,LEAD TOTAL,0.021,UG/L,,7.445571
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,NICKEL TOTAL,0.25,UG/L,,158.782283
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,NITROGEN TOTAL,0.153,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,OXYGEN DISSOLVED,11.42,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,PHOSPHORUS TOTAL,0.003,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,22/03/2016,ZINC TOTAL,0.7,UG/L,,86.2605
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,AMMONIA DISSOLVED,0.006,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,ARSENIC TOTAL,0.07,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,CHLORIDE DISSOLVED,3.63,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,COPPER TOTAL,0.11,UG/L,,3.909033
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,LEAD TOTAL,0.026,UG/L,,6.727138
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,NICKEL TOTAL,0.19,UG/L,,149.448988
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,NITROGEN TOTAL,0.167,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,OXYGEN DISSOLVED,10.39,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,12/4/2016,ZINC TOTAL,0.8,UG/L,,75.05475
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,AMMONIA DISSOLVED,0.007,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,ARSENIC TOTAL,0.14,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,CHLORIDE DISSOLVED,1.29,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,COPPER TOTAL,0.39,UG/L,,3.084025
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,LEAD TOTAL,0.218,UG/L,,4.725606
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,NICKEL TOTAL,0.51,UG/L,,121.039494
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,NITROGEN TOTAL,0.21,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,OXYGEN DISSOLVED,10.2,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,PHOSPHORUS TOTAL,0.019,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,4/5/2016,ZINC TOTAL,1.9,UG/L,,42.336
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,ARSENIC TOTAL,0.09,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,CHLORIDE DISSOLVED,0.98,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,COPPER TOTAL,0.15,UG/L,,2.856696
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,LEAD TOTAL,0.048,UG/L,,4.216161
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,NICKEL TOTAL,0.2,UG/L,,113.07089
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,NITROGEN TOTAL,0.088,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,OXYGEN DISSOLVED,9.4,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,PHOSPHORUS TOTAL,0.004,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,28/06/2016,ZINC TOTAL,0.8,UG/L,,33.56475
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,ARSENIC TOTAL,0.1,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,CHLORIDE DISSOLVED,0.84,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,COPPER TOTAL,0.18,UG/L,,2.947303
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,LEAD TOTAL,0.079,UG/L,,4.41692
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,NICKEL TOTAL,0.26,UG/L,,116.255069
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,NITROGEN TOTAL,0.088,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,OXYGEN DISSOLVED,9.35,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,PHOSPHORUS TOTAL,0.005,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,19/07/2016,ZINC TOTAL,0.8,UG/L,,37.047
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,ARSENIC TOTAL,0.08,UG/L,,5
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,CHLORIDE DISSOLVED,1.1,MG/L,,120
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,COPPER TOTAL,0.05,UG/L,,2.913501
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,LEAD TOTAL,0.039,UG/L,,4.341666
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,NICKEL TOTAL,0.05,UG/L,,115.068463
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,NITROGEN TOTAL,0.093,MG/L,,1
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,OXYGEN DISSOLVED,9.21,MG/L,6.5,
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,PHOSPHORUS TOTAL,0.003,MG/L,,0.05
BOW RIVER ABOUT 4.5 KM ABOVE CANMORE,17/08/2016,ZINC TOTAL,0.4,UG/L,,35.74575
