ID,GlobalUniqueIdentifier,ScientificName,Order,Locality,DecimalLatitude,DecimalLongitude,YearCollected,MonthCollected,DayCollected,Collector,CollectorNumber,Remarks,SamplingEventIdentifier,TimeObservationsStarted,DurationInHours,NumberOfObservers,ObservationCount,ObservationDate,CommonName,BreedingBirdAtlasCode
B55,URN:NatureAlberta:ABATLAS2:11802-SNOW,Bubo scandiacus,Strigiformes,Taber,49.7792,-112.146,2005,1,4,Lloyd Bennett,9779,,11802,06:00:00,13,3,1,Jan  4 2005 12:00AM,Snowy Owl,X
B56,URN:NatureAlberta:ABATLAS2:94643-CAGO,Branta canadensis,Anseriformes,"Mornville Overpass slough, UQ25",53.7091,-113.651,2005,6,16,Hugh Campbell,4277,,94643,06:00:00,3,0,1,Jun 16 2005 12:00AM,Canada Goose,X
B57,URN:NatureAlberta:ABATLAS2:94643-COLO,Gavia immer,Gaviiformes,"Mornville Overpass slough, UQ25",53.7091,-113.651,2005,6,16,Hugh Campbell,4277,,94643,06:00:00,3,0,1,Jun 16 2005 12:00AM,Common Loon,X
B58,URN:NatureAlberta:ABATLAS2:94647-BCCH,Poecile atricapillus,Passeriformes,VP67,53.0234,-111.522,2005,6,15,Prez Winter,9445,,94647,06:00:00,5,0,3,Jun 15 2005 12:00AM,Black-capped Chickadee,H
B59,URN:NatureAlberta:ABATLAS2:94647-CAGO,Branta canadensis,Anseriformes,VP67,53.0234,-111.522,2005,6,15,Prez Winter,9445,,94647,06:00:00,5,0,3,Jun 15 2005 12:00AM,Canada Goose,FL
B60,URN:NatureAlberta:ABATLAS2:11241-BCCH,Poecile atricapillus,Passeriformes,Olds,51.7953,-114.098,2005,1,26,Alan Taylor,4371,,11241,11:50:00,1,0,1,Jan 26 2005 12:00AM,Black-capped Chickadee,X
B61,URN:NatureAlberta:ABATLAS2:94734-COLO,Gavia immer,Gaviiformes,VL22,49.8727,-112.044,2005,5,25,Lloyd Bennett,9779,,94734,06:00:00,160,2,1,May 25 2005 12:00AM,Common Loon,X
B62,URN:NatureAlberta:ABATLAS2:94734-CAGO,Branta canadensis,Anseriformes,VL22,49.8727,-112.044,2005,5,25,Lloyd Bennett,9779,,94734,06:00:00,160,2,580,May 25 2005 12:00AM,Canada Goose,X
B63,URN:NatureAlberta:ABATLAS2:94668-CAGO,Branta canadensis,Anseriformes,PJ41,52.4659,-114.865,2005,4,12,Fred Sutherland,6133,,94668,10:00:00,1,0,2,Apr 12 2005 12:00AM,Canada Goose,P
B64,URN:NatureAlberta:ABATLAS2:94672-BCCH,Poecile atricapillus,Passeriformes,VP48,53.1116,-111.822,2005,6,22,Prez Winter,9445,,94672,07:00:00,3.5,0,2,Jun 22 2005 12:00AM,Black-capped Chickadee,H
B65,URN:NatureAlberta:ABATLAS2:94672-CAGO,Branta canadensis,Anseriformes,VP48,53.1116,-111.822,2005,6,22,Prez Winter,9445,,94672,07:00:00,3.5,0,23,Jun 22 2005 12:00AM,Canada Goose,FL
B66,URN:NatureAlberta:ABATLAS2:94805-BCCH,Poecile atricapillus,Passeriformes,PL53,54.4386,-114.601,2005,7,23,John Arnold,9424,,94805,10:30:00,7,0,20,Jul 23 2005 12:00AM,Black-capped Chickadee,FL
B67,URN:NatureAlberta:ABATLAS2:94805-GRJA,Perisoreus canadensis,Passeriformes,PL53,54.4386,-114.601,2005,7,23,John Arnold,9424,,94805,10:30:00,7,0,3,Jul 23 2005 12:00AM,Gray Jay,H
B68,URN:NatureAlberta:ABATLAS2:11464-GRJA,Perisoreus canadensis,Passeriformes,Sibbald Creek Road,51.05,-114.683,2005,1,9,Andrew Slater,2062,,11464,09:30:00,3,0,1,Jan  9 2005 12:00AM,Gray Jay,X
B69,URN:NatureAlberta:ABATLAS2:11464-BCCH,Poecile atricapillus,Passeriformes,Sibbald Creek Road,51.05,-114.683,2005,1,9,Andrew Slater,2062,,11464,09:30:00,3,0,1,Jan  9 2005 12:00AM,Black-capped Chickadee,X
B70,URN:NatureAlberta:ABATLAS2:94718-CAGO,Branta canadensis,Anseriformes,up22,52.5228,-113.578,2005,5,21,Doug Matacio,6113,,94718,08:40:00,2.5,0,30,May 21 2005 12:00AM,Canada Goose,FL
B71,URN:NatureAlberta:ABATLAS2:94993-CAGO,Branta canadensis,Anseriformes,PG99,51.3727,-114.198,2005,6,6,Nell Simpson,9831,,94993,10:15:00,2.75,1,23,Jun  6 2005 12:00AM,Canada Goose,X
